province,distance,region
TP HCM,1719,Nam
An Giang,1908,Nam
Thi xa 2,1963,Nam
Bac Lieu,1999,Nam
BRVT,1784,Nam
Bac Kan,162,Bac
Bac Giang,51,Bac
Bac Ninh,31,Bac
Ben Tre,1804,Nam
Binh Duong,1749,Nam
Binh Dinh,1052,Trung
Binh Phuoc,1823,Nam
Binh Thuan,1531,Trung
Ca Mau,2066,Nam
Cao Bang,281,Bac
Can Tho,1888,Nam
Da Nang,759,Trung
Dak Lak,1401,Trung
Dong Nai,1679,Nam
Dong Thap,1862,Nam
Gia Lai,1189,Trung
Ha Giang,319,Bac
Ha Nam,59,Bac
Ha Noi,0,Bac
Ha Tinh,340,Trung
Hai Duong,56,Bac
Hai Phong,101,Bac
Hoa Binh,76,Bac
Hung Yen,62,Bac
Khanh Hoa,1280,Trung
Kien Giang,1967,Nam
Kon Tum,1237,Trung
Lao Cai,354,Bac
Lai Chau,504,Bac
Thi xa 2,522,Bac
Lang Son,154,Bac
Lam Dong,1495,Trung
Long An,1766,Nam
Nam Dinh,90,Bac
Nghe An,291,Trung
Ninh Thuan,1385,Trung
Ninh Binh,93,Bac
Phu Tho,71,Bac
Phu Yen,1159,Trung
Quang Binh,488,Trung
Quang Nam,821,Trung
Quang Ngai,884,Trung
Quang Ninh,153,Bac
Quang Tri,580,Trung
Soc Trang,1949,Nam
Son La,339,Bac
Tay Ninh,1818,Nam
Thai Binh,109,Bac
Thai Nguyen,76,Bac
Thanh Hoa,153,Bac
Thua Thien Hue,654,Trung
Tien Giang,1789,Nam
Tuyen Quang,166,Bac
Vinh Phuc,49,Bac
Vinh Long,1854,Nam
Yen Bai,168,Bac
Dien Bien,474,Bac
Tra Vinh,1747,Nam
Hau Giang,1807,Nam
Dak Nong,1364,Nam
